ID,title,author,price,publishedDate,gender,ageGroup
550e8400-e29b-41d4-a716-446655440001,Clean Code,Robert C. Martin,39.99,2008-08-01T00:00:00Z,F,A
550e8400-e29b-41d4-a716-446655440002,The Pragmatic Programmer,Andrew Hunt,42.50,1999-10-20T00:00:00Z,M,A
550e8400-e29b-41d4-a716-446655440003,Harry Potter and the Philosopher's Stone,J.K. Rowling,24.99,1997-06-26T00:00:00Z,F,K
550e8400-e29b-41d4-a716-446655440004,The Little Prince,Antoine de Saint-Exupery,15.50,1943-04-06T00:00:00Z,M,K
550e8400-e29b-41d4-a716-446655440005,Atomic Habits,James Clear,21.99,2018-10-16T00:00:00Z,M,A
550e8400-e29b-41d4-a716-446655440006,The Alchemist,Paulo Coelho,19.99,1988-04-01T00:00:00Z,F,A
550e8400-e29b-41d4-a716-446655440007,Charlotte's Web,E.B. White,18.75,1952-10-15T00:00:00Z,F,K
550e8400-e29b-41d4-a716-446655440008,Matilda,Roald Dahl,16.99,1988-10-01T00:00:00Z,M,K
550e8400-e29b-41d4-a716-446655440009,Design Patterns,Erich Gamma,54.00,1994-10-21T00:00:00Z,F,A
550e8400-e29b-41d4-a716-446655440010,Introduction to Algorithms,Thomas H. Cormen,89.95,2009-07-31T00:00:00Z,M,A
550e8400-e29b-41d4-a716-446655440011,The Very Hungry Caterpillar,Eric Carle,12.99,1969-06-03T00:00:00Z,F,K
550e8400-e29b-41d4-a716-446655440012,The Hobbit,J.R.R. Tolkien,29.99,1937-09-21T00:00:00Z,M,K
