ID,title,pages,books_ID
650e8400-e29b-41d4-a716-446655440001,Introduction,15,550e8400-e29b-41d4-a716-446655440001
650e8400-e29b-41d4-a716-446655440002,Clean Code Principles,30,550e8400-e29b-41d4-a716-446655440001
650e8400-e29b-41d4-a716-446655440003,Writing Readable Code,25,550e8400-e29b-41d4-a716-446655440001
650e8400-e29b-41d4-a716-446655440004,Getting Started,22,550e8400-e29b-41d4-a716-446655440002
650e8400-e29b-41d4-a716-446655440005,Programming Principles,28,550e8400-e29b-41d4-a716-446655440002
650e8400-e29b-41d4-a716-446655440006,Design Principles,35,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440007,Sorting Algorithms,28,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440008,Searching Algorithms,24,550e8400-e29b-41d4-a716-446655440003
650e8400-e29b-41d4-a716-446655440009,Harry Meets Hagrid,20,550e8400-e29b-41d4-a716-446655440004
650e8400-e29b-41d4-a716-446655440010,The Magic Begins,32,550e8400-e29b-41d4-a716-446655440004
650e8400-e29b-41d4-a716-446655440011,Building Good Habits,27,550e8400-e29b-41d4-a716-446655440005
650e8400-e29b-41d4-a716-446655440012,Small Changes Big Results,31,550e8400-e29b-41d4-a716-446655440005
650e8400-e29b-41d4-a716-446655440013,The Magic of Friendship,26,550e8400-e29b-41d4-a716-446655440006
650e8400-e29b-41d4-a716-446655440014,The Journey Begins,29,550e8400-e29b-41d4-a716-446655440006
650e8400-e29b-41d4-a716-446655440015,The Story Continues,34,550e8400-e29b-41d4-a716-446655440007
650e8400-e29b-41d4-a716-446655440016,Friendship and Courage,27,550e8400-e29b-41d4-a716-446655440008
650e8400-e29b-41d4-a716-446655440017,Patterns in Software,40,550e8400-e29b-41d4-a716-446655440009
650e8400-e29b-41d4-a716-446655440018,Reusable Solutions,36,550e8400-e29b-41d4-a716-446655440009
650e8400-e29b-41d4-a716-446655440019,Algorithms Overview,42,550e8400-e29b-41d4-a716-446655440010
650e8400-e29b-41d4-a716-446655440020,Advanced Algorithms,48,550e8400-e29b-41d4-a716-446655440010
